campaign_id,maker_user_id_hash,title,when_open,start_datetime,end_datetime,product_type,photo_url,nick_name,corp_name,participation_cnt,total_backed_amount,target_amount,achievement_rate,signature_cnt,remaining_day,end_yn,core_message,cust_value_code_nm,advertisement,acid,landing_url,link_url,additional_param,badge_urls,collection_id,maker_club_grade,maker_club_icon_url,is_delivery_available,is_global_shipping_available,has_coupon,category_code,category_name,status
399800,m_7f96b1fa1e65,13층 깊은 보습에 피부 열감까지 내리는 클린 크림,2026-03-27T17:59:59+09:00,2026-03-27T17:59:59,2026-04-17T17:59:59,PREORDER,https://demo-assets.example.invalid/studio/images/2026/04/399800.jpeg,메이커 브레바,메이커 브레바,168,9500000,10000000,95,36,-23,1,스킨케어 카테고리에서 일상 문제를 해결하는 클린 프로젝트입니다.,스킨케어,False,0,https://demo-source.example.invalid/web/campaign/detail/399800,/web/campaign/detail/399800,,[],,,,True,True,False,B0190,스킨케어,success
398196,m_9424905cb388,공간 분위기를 바꾸는 호텔식 초경량 조명,2026-03-27T18:59:59+09:00,2026-03-27T18:59:59,2026-04-10T18:59:59,PREORDER,https://demo-assets.example.invalid/studio/images/2026/04/398196.jpeg,스튜디오 무딕스,스튜디오 무딕스,37,2000000,10000000,20,8,-30,1,홈리빙 카테고리에서 일상 문제를 해결하는 초경량 프로젝트입니다.,홈리빙,False,0,https://demo-source.example.invalid/web/campaign/detail/398196,/web/campaign/detail/398196,,[],,,,True,False,True,B0120,홈리빙,success
394880,m_b160fb8f8293,"보이지 않는 바람의 차이, 공간까지 시원한 감성 선풍기",2026-03-27T23:59:59+09:00,2026-03-27T23:59:59,2026-05-11T23:59:59,PREORDER,https://demo-assets.example.invalid/studio/images/2026/04/394880.jpeg,스튜디오 그린웨이,스튜디오 그린웨이,25,1110000,1000000,111,10,1,0,테크·가전 카테고리에서 일상 문제를 해결하는 감성 프로젝트입니다.,테크·가전,False,0,https://demo-source.example.invalid/web/campaign/detail/394880,/web/campaign/detail/394880,,[],,PURPLE,,True,False,False,B0050,테크·가전,success
401384,m_4048da274086,산책이 편해지는 초경량 감성 리드줄,2026-03-28T08:59:59+09:00,2026-03-28T08:59:59,2026-05-27T08:59:59,REWARD,https://demo-assets.example.invalid/studio/images/2026/04/401384.jpeg,주식회사 메디비티,주식회사 메디비티,40,860000,2000000,43,20,17,0,반려동물 카테고리에서 일상 문제를 해결하는 감성 프로젝트입니다.,반려동물,False,0,https://demo-source.example.invalid/web/campaign/detail/401384,/web/campaign/detail/401384,,[],,BLUE,,True,False,True,B0180,반려동물,success
394367,m_a03ab4835dea,기록 습관을 만드는 감성 제로 다이어리,2026-03-28T12:59:59+09:00,2026-03-28T12:59:59,2026-04-18T12:59:59,PREORDER,https://demo-assets.example.invalid/studio/images/2026/04/394367.jpeg,스튜디오 제로랩,스튜디오 제로랩,50,2450000,5000000,49,20,-22,1,출판 카테고리에서 일상 문제를 해결하는 제로 프로젝트입니다.,출판,False,0,https://demo-source.example.invalid/web/campaign/detail/394367,/web/campaign/detail/394367,,[],,,,True,False,False,B0110,출판,success
394052,m_3de04f29c114,출근길 배터리 걱정 없는 초경량 에센셜 보조배터리,2026-03-28T19:59:59+09:00,2026-03-28T19:59:59,2026-04-11T19:59:59,PREORDER,https://demo-assets.example.invalid/studio/images/2026/04/394052.jpeg,주식회사 브레바,주식회사 브레바,189,10600000,20000000,53,28,-29,1,주변기기 카테고리에서 일상 문제를 해결하는 에센셜 프로젝트입니다.,주변기기,False,0,https://demo-source.example.invalid/web/campaign/detail/394052,/web/campaign/detail/394052,,[],,PURPLE,,True,True,False,B0070,주변기기,success
397605,m_a802d4a6319d,피부의 기초 상태를 바꾸는 스마트 앰플+크림세트,2026-03-28T19:59:59+09:00,2026-03-28T19:59:59,2026-04-27T19:59:59,REWARD,https://demo-assets.example.invalid/studio/images/2026/04/397605.jpeg,주식회사 로컬랩,주식회사 로컬랩,108,9670000,1000000,967,35,-13,1,스킨케어 카테고리에서 일상 문제를 해결하는 스마트 프로젝트입니다.,스킨케어,True,0,https://demo-source.example.invalid/web/campaign/detail/397605,/web/campaign/detail/397605,,[],,GREEN,,True,True,False,B0190,스킨케어,success
395003,m_2ba48e63563f,"여름 출산 준비 필수템, 부드러운 시그니처 세트",2026-03-29T07:59:59+09:00,2026-03-29T07:59:59,2026-04-12T07:59:59,PREORDER,https://demo-assets.example.invalid/studio/images/2026/04/395003.jpeg,주식회사 두이즈,주식회사 두이즈,716,5700000,10000000,57,242,-28,1,유아·키즈 카테고리에서 일상 문제를 해결하는 시그니처 프로젝트입니다.,유아·키즈,False,0,https://demo-source.example.invalid/web/campaign/detail/395003,/web/campaign/detail/395003,,[],,,,True,False,False,B0210,유아·키즈,success
396873,m_a93909aa5cd2,집에서도 가능한 컴팩트 하이브리드 트레이닝 세트,2026-03-29T14:59:59+09:00,2026-03-29T14:59:59,2026-04-28T14:59:59,PREORDER,https://demo-assets.example.invalid/studio/images/2026/04/396873.jpeg,메이커 사북상회,메이커 사북상회,2172,115600000,20000000,578,448,-12,1,스포츠·모빌리티 카테고리에서 일상 문제를 해결하는 하이브리드 프로젝트입니다.,스포츠·모빌리티,False,0,https://demo-source.example.invalid/web/campaign/detail/396873,/web/campaign/detail/396873,,[],,,,True,False,True,B0160,스포츠·모빌리티,success
393166,m_dca7df5e5db5,노트북 책상을 깔끔하게 만드는 스마트 멀티 허브,2026-03-29T17:59:59+09:00,2026-03-29T17:59:59,2026-04-12T17:59:59,PREORDER,https://demo-assets.example.invalid/studio/images/2026/04/393166.jpeg,주식회사 청연,주식회사 청연,80,1960000,2000000,98,26,-28,1,주변기기 카테고리에서 일상 문제를 해결하는 스마트 프로젝트입니다.,주변기기,False,0,https://demo-source.example.invalid/web/campaign/detail/393166,/web/campaign/detail/393166,,[],,,,True,False,False,B0070,주변기기,success
